num,pm,system,name,field,field_name,discipline,discipline_name,study,study_name,department,department_name,phone,exten,fax,mail,web
1,公立,1,國立政治大學,1,教育,11,教育,111,教育學,1111001,教育學系,02-2939-3091,62331,02-2938-7717,nccuedu@nccu.edu.tw,https://edu.nccu.edu.tw/
1,公立,1,國立政治大學,1,教育,11,教育,111,教育學,1114005,教育行政與政策研究所,02-2939-3091,66081,02-2938-7470,eap@nccu.edu.tw,https://eap.nccu.edu.tw/main.php
1,公立,1,國立政治大學,1,教育,11,教育,111,教育學,1114006,學校行政碩士在職專班,02-2939-3091,60012,02-2938-7737,jjmail@nccu.edu.tw,https://mesa.nccu.edu.tw/
1,公立,1,國立政治大學,1,教育,11,教育,112,幼兒師資教育,1121004,幼兒教育研究所,02-2939-3091,62209,02-2938-7733,ece@nccu.edu.tw,https://ece.nccu.edu.tw/main.php
1,公立,1,國立政治大學,2,藝術及人文,22,人文,221,宗教,2211019,宗教研究所,02-2938-7730,67730,02-2938-7731,religion@nccu.edu.tw,https://religion.nccu.edu.tw/main.php
1,公立,1,國立政治大學,2,藝術及人文,22,人文,222,歷史及考古學,2221020,歷史學系,02-2939-3091,62351,02-2938-7045,history@nccu.edu.tw,https://history.nccu.edu.tw/main.php
1,公立,1,國立政治大學, ,藝術及人文,22,人文,222,歷史及考古學,2221021,台灣史研究所,02-2938-7575,67575,02-2938-7573,formosa@nccu.edu.tw,https://taiwan.nccu.edu.tw/main.php
1,公立,1,國立政治大學,2,藝術及人文,22,人文,222,歷史及考古學,2222031,民族學系,02-2939-3091,50511,02-2938-7587,ethnos@nccu.edu.tw,http://www.ethnos.nccu.edu.tw/index_c.asp
1,公立,1,國立政治大學,2,藝術及人文,22,人文,223,哲學,2231022,哲學系,02-2939-3091,62361,02-2939-0514,thinker@nccu.edu.tw,https://thinker.nccu.edu.tw/main.php
1,公立,1,國立政治大學,2,藝術及人文,23,語文,231,外國語文學,2311009,英國語文學系,02-2938-7072,67072,02-2939-0510,english@nccu.edu.tw,https://english.nccu.edu.tw/main.php
1,公立,1,國立政治大學,2,藝術及人文,23,語文,231,外國語文學,2311011,日本語文學系,02-2938-7685,62166,02-2938-7686,japanese@nccu.edu.tw,https://japanese.nccu.edu.tw/main.php
1,公立,1,國立政治大學,2,藝術及人文,23,語文,231,外國語文學,2311012,阿拉伯語文學系,02-2939-3091,63401,02-2938-7074,arabic@nccu.edu.tw,https://arabic.nccu.edu.tw/main.php
1,公立,1,國立政治大學,2,藝術及人文,23,語文,231,外國語文學,2311014,韓國語文學系,02-2938-7073,67073,02-2938-7182,korea@nccu.edu.tw,https://korean.nccu.edu.tw/main.php
1,公立,1,國立政治大學,2,藝術及人文,23,語文,231,外國語文學,2311015,土耳其語文學系,02-2939-3091,62312,02-2938-7284,turkish@nccu.edu.tw,https://turkish.nccu.edu.tw/main.php
1,公立,1,國立政治大學,2,藝術及人文,23,語文,231,外國語文學,2311016,歐洲語文學系,02-2939-3091,63036,02-2938-7608,european@nccu.edu.tw,https://european.nccu.edu.tw/main.php
1,公立,1,國立政治大學,2,藝術及人文,23,語文,231,外國語文學,2311017,斯拉夫語文學系,02-2938-7280,63752,02-2938-5776,slavic@nccu.edu.tw,https://slavic.nccu.edu.tw/main.php
1,公立,1,國立政治大學,2,藝術及人文,23,語文,231,外國語文學,2311087,東南亞語言與文化學士學位學程,02-2939-3091,62745,無,foreign@nccu.edu.tw,https://sealc-nccu.nccu.edu.tw/
1,公立,1,國立政治大學,2,藝術及人文,23,語文,232,本國語文學,2321007,台灣文學研究所,02-2939-3091,67267,02-2938-7534,tailit@nccu.edu.tw,https://tailit.nccu.edu.tw/main.php
