num,school,department,discipline_name,gsat,chi,eng,math_a,math_b,phy,che,bio,his,geo,cit,ele,same_1,same_2,same_3,rank_108,select_score_108,ori_score_108,avg_108,num_want_108,num_sel_108,low_108,high_108,people_in_108,percent_in_108,rank_107,select_score_107,ori_score_107,avg_107,num_want_107,num_sel_107,low_107,high_107,people_in_107,percent_in_107,profile
1,國立臺灣大學,生物產業傳播暨發展學系,大眾傳播,,1.5,1.5,,1.5,,,,1,1,,,數乙,英文,國文,10,543.48,418.06,83.61,31,31,415.01,420,595,0.0251,11,535.58,411.98,82.4,30,31,410.01,415,705,2.69,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/00163.html
2,國立政治大學,傳播學院大一大二不分系社會組,大眾傳播,,1.5,1.5,,1,,,,1,,1,,國文,英文,歷史,15,488.2,406.83,81.37,66,67,405.01,410,1072,0.0488,14,471.3,392.75,78.55,78,80,390.01,395,1339,5.83,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/00632.html
3,國立交通大學,傳播與科技學系,大眾傳播,,1.5,1.5,,1,,,,1,1,,,國文,英文,數乙,37,476.35,396.96,79.39,11,11,395.01,400,1573,0.0663,35,465.6,388,77.6,16,16,385.01,390,2058,7.84,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/01322.html
4,國立臺灣藝術大學,圖文傳播藝術學系,大眾傳播,英聽(Ｂ級),1.5,2,,2,,,,,,,,英文,數乙,國文,52,431.1,235.15,78.38,20,20,234.01,237,5213,0.1469,47,405.9,221.4,73.8,23,23,219.01,222,6234,16.35,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/05602.html
5,國立臺灣藝術大學,電影學系,大眾傳播,國文(均標) 英文(均標),2,2,,1,,,,1,,1,,英文,國文,歷史,32,534.8,382,76.4,22,22,380.01,385,2728,0.1241,32,506.9,362.07,72.41,23,24,360.01,365,3264,14.2,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/05609.html
6,國立屏東大學,國際貿易學系,大眾傳播,,1,2,,2,,,,,,,,英文,數乙,國文,66,381.1,228.66,76.22,1,1,228.01,231,6448,0.1817,80,334.6,200.76,66.92,2,2,198.01,201,10251,26.89,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/03623.html
7,國立政治大學,傳播學院大一大二不分系自然組,大眾傳播,,1,1.5,1.5,,,,,,,,,數甲,英文,國文,6,303.9,227.92,75.97,6,6,225.01,228,2890,0.1185,,,,,,,,,,,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/00630.html
8,國立臺灣藝術大學,廣播電視學系,大眾傳播,國文(均標) 英文(均標) 英聽(Ｂ級),1.5,1.5,,1,,,,1,,1,,國文,英文,歷史,34,454.98,379.15,75.83,21,21,375.01,380,3114,0.1416,31,436.25,363.54,72.71,22,23,360.01,365,3264,14.2,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/05610.html
9,國立中正大學,傳播學系,大眾傳播,國文(均標) 英文(均標),1.5,1.5,,1,,,,1,1,,,國文,英文,數乙,53,448.38,373.65,74.73,19,19,370.01,375,3354,0.1415,59,431.41,359.51,71.9,19,19,355.01,360,4402,16.77,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/04102.html
10,國立臺灣體育運動大學,運動資訊與傳播學系(傳播組),大眾傳播,,2,2,,,,,,1.75,1,,,英文,國文,歷史,18,489.63,290.15,72.54,4,4,288.01,292,4480,0.1831,20,437.85,259.47,64.87,5,5,256.01,260,7953,29.59,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/06006.html
