num,name,department_name,subjects,numofstudent,score_nor,same_compare,score_abor,score_retire,score_oversea,score_mt,score_out
1,國立臺灣大學,中國文學系,國x1.50 英x1.25 數乙x1.00 歷x1.25 地x1.00,27,492.81,,,,,,
2,國立臺灣大學,外國語文學系,國x1.25 英x2.00 數乙x1.00 歷x1.00 地x1.00,54,524.1,,594.29,,,,
3,國立臺灣大學,歷史學系,國x1.00 英x1.00 歷x1.00 地x1.00 公x1.00,21,424.45,,,,,,
4,國立臺灣大學,哲學系,國x1.00 英x1.00 數乙x1.00 歷x1.00 公x1.00,20,411.5,,,,,,
5,國立臺灣大學,人類學系,國x1.00 英x1.50 歷x1.00 地x1.00 公x1.00,22,460.05,,508.12,,,,
6,國立臺灣大學,圖書資訊學系,國x1.25 英x1.25 數乙x1.00 歷x1.00 公x1.00,20,457.05,,,,,,
7,國立臺灣大學,日本語文學系,國x1.50 英x1.50 數乙x1.00 歷x1.00 地x1.00,29,495.8,,498.9,,,,
10,國立臺灣大學,戲劇學系(男),國x1.50 英x1.50 數乙x1.00 歷x1.00 地x1.00,11,486.25,,,,,,
11,國立臺灣大學,戲劇學系(女),國x1.50 英x1.50 數乙x1.00 歷x1.00 地x1.00,10,490.2,,,,,,
12,國立臺灣大學,數學系,英x1.00 數甲x1.50 物x1.00 化x1.00,16,362.1,,,,,,
13,國立臺灣大學,物理學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,13,414.5,,,,,,420.86
14,國立臺灣大學,化學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,18,405.5,,,,,,
15,國立臺灣大學,地質科學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,15,388.6,,,,,,
16,國立臺灣大學,心理學系,國x1.00 英x1.00 數甲x1.00 化x1.00 生x1.00,44,402.45,,,,,,
17,國立臺灣大學,地理環境資源學系A組,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,12,384.25,,,,,,
20,國立臺灣大學,地理環境資源學系B組,國x1.00 英x1.00 數乙x1.00 歷x1.00 地x1.00,7,421.45,,429.03,,,,
21,國立臺灣大學,大氣科學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,18,390.8,,,,,,
22,國立臺灣大學,政治學系政治理論組,國x1.25 英x1.25 數乙x1.00 歷x1.00 地x1.00,31,457.75,,,,,,
23,國立臺灣大學,政治學系國際關係組,國x1.25 英x1.25 數乙x1.00 歷x1.00 地x1.00,34,466.74,,472.04,,,469.36,482.56
24,國立臺灣大學,政治學系公共行政組,國x1.25 英x1.25 數乙x1.00 歷x1.00 地x1.00,32,460.61,,,,,,
25,國立臺灣大學,經濟學系,國x1.00 英x1.50 數乙x2.00,56,408.78,,424.09,,,,
26,國立臺灣大學,社會學系,國x1.00 英x1.00 數乙x1.00 歷x1.00 公x1.00,26,422.05,,446.31,,,,
27,國立臺灣大學,社會工作學系,國x1.25 英x1.25 數乙x1.00 歷x1.00 公x1.00,20,453.83,英文84.50,,,,,
30,國立臺灣大學,醫學系(自費),英x1.00 數甲x1.00 物x1.00 化x1.00 生x1.00,57,448.1,,566.93,461.69,,483.25,
31,國立臺灣大學,醫學系(公費),英x1.00 數甲x1.00 物x1.00 化x1.00 生x1.00,4,430.6,,,,,,
